"date","country","channel_id","currency","spend"
"2025-06-03","IT","22","EUR","159.83099424"
"2025-06-03","CZ","5","CZK","227096.11818"
"2025-06-03","HU","36","HUF","94138.240298508"
"2025-06-04","HR","29","EUR","972.233928"
"2025-06-04","SK","39","EUR","1367.812217997"
"2025-06-03","HU","9","HUF","181696.158"
"2025-06-01","HU","9","HUF","200514.546"
"2025-06-03","BG","5","EUR","571.585112119"
"2025-06-04","RO","36","RON","2201.952526794"
"2025-06-04","HU","17","HUF","186068.357467731"
"2025-06-03","CZ","61","CZK","77238.195101003"
"2025-06-04","BG","61","BGN","311.779405542"
"2025-06-03","HR","61","EUR","598.232889048"
"2025-06-04","PL","18","PLN","723.089095452"
"2025-05-29","CZ","27","CZK","131244.64749"
"2025-05-29","RO","22","RON","67599.386535429"
"2025-05-30","PL","23","PLN","355.367463219"
"2025-05-29","RO","6","RON","18132.46974"
"2025-05-30","HU","39","HUF","370684.057284846"
"2025-05-29","IT","39","EUR","213.980024133"
"2025-05-30","PL","58","PLN","330.320365677"
"2025-05-30","PL","29","PLN","3273.632055"
"2025-05-30","BG","52","BGN","90.495060192"
"2025-05-29","BG","9","EUR","114.830585526"
"2025-05-30","HR","61","EUR","622.421645153"
"2025-05-30","CZ","23","CZK","10813.077007974"
"2025-05-30","SK","20","EUR","146.750922171"
"2025-05-30","PL","5","PLN","6201.59463"
"2025-05-29","CZ","25","CZK","18634.59774"
"2025-05-30","SI","46","EUR","59.706885015"
"2025-05-31","PL","22","PLN","4866.285562569"
"2025-05-31","HU","39","HUF","632290.504861035"
"2025-05-31","IT","23","EUR","24.87816"
"2025-05-30","IT","11","EUR","24.62139"
"2025-05-31","SK","39","EUR","1467.514197342"
"2025-05-30","HR","9","EUR","78.94251"
"2025-05-30","IT","6","EUR","360.50508"
"2025-05-31","CZ","5","CZK","203676.21207"
"2025-06-01","HR","52","EUR","224.310748545"
"2025-06-01","CZ","2","CZK","27537.86925"
"2025-06-02","IT","17","EUR","0.380627289"
"2025-06-02","BG","61","BGN","396.420029753"
"2025-06-02","PL","23","PLN","422.189119692"
"2025-06-01","SK","9","EUR","163.41984"
"2025-05-27","HR","22","EUR","5249.411625942"
"2025-05-28","PL","22","PLN","2822.245093656"
"2025-05-27","IT","9","EUR","16.91829"
"2025-05-28","RO","58","RON","15806.073213315"
"2025-05-28","PL","52","PLN","26.214422463"
"2025-05-28","RO","11","RON","360.87597"
"2025-05-28","HU","9","HUF","146267.604"
"2025-05-28","HR","4","EUR","201.07944"
"2025-05-26","PL","6","PLN","3744.19161"
"2025-05-26","GR","5","EUR","248.89572"
"2025-05-27","PL","58","PLN","385.537267764"
"2025-05-05","SK","22","EUR","12749.594548671"
"2025-05-06","HR","23","EUR","256.291303689"
"2025-05-06","HU","17","HUF","34292.630001546"
"2025-05-08","SI","22","EUR","1341.871914627"
"2025-05-08","SI","23","EUR","47.282535054"
"2025-05-30","SK","39","EUR","1174.623802254"
"2025-05-29","HU","2","HUF","30726.81"
"2025-05-29","PL","11","PLN","124.84728"
"2025-05-30","HR","38","EUR","26.807515515"
"2025-05-30","SK","3","EUR","114.51942"
"2025-05-30","SK","6","EUR","2854.22679"
"2025-05-31","IT","39","EUR","253.068754599"
"2025-05-30","CZ","38","CZK","68.58612"
"2025-05-31","SI","61","EUR","314.168533514"
"2025-05-31","HU","52","HUF","7291.51266825"
"2025-05-31","PL","46","PLN","2004.205773096"
"2025-05-31","CZ","17","CZK","16699.432084794"
"2025-05-31","CZ","11","CZK","4359.69783"
"2025-05-31","CZ","2","CZK","25307.8218"
"2025-06-01","HR","22","EUR","5012.983553031"
"2025-06-01","CZ","39","CZK","144732.964681134"
"2025-06-01","RO","29","RON","2323.506024"
"2025-05-31","BG","5","EUR","560.766583901"
"2025-06-01","SK","62","EUR","146.61567"
"2025-06-01","IT","29","EUR","76.537431"
"2025-05-31","UK","23","GBP","2.5677"
"2025-06-01","BG","52","BGN","75.594403233"
"2025-06-02","CZ","22","CZK","500850.244590012"
"2025-06-02","BG","22","BGN","1118.69131356"
"2025-06-02","HR","22","EUR","3868.756326027"
"2025-06-02","CZ","39","CZK","117311.880227283"
"2025-06-01","BG","5","EUR","653.669704521"
"2025-06-01","RO","11","RON","409.23432"
"2025-06-02","HR","61","EUR","562.757413463"
"2025-06-01","CZ","38","CZK","74.34918"
"2025-05-27","SK","22","EUR","12694.870927431"
"2025-05-28","CZ","39","CZK","120441.393178434"
"2025-05-28","IT","22","EUR","162.527355981"
"2025-05-28","IT","39","EUR","218.768847399"
"2025-05-27","HU","5","HUF","1788662.673"
"2025-05-28","HU","39","HUF","673185.263466402"
"2025-05-27","HU","29","HUF","219586.851"
"2025-05-27","HR","38","EUR","28.089659421"
"2025-05-27","IT","29","EUR","64.038438"
"2025-05-25","HR","38","EUR","56.835163629"
"2025-05-28","SK","17","EUR","605.404368954"
"2025-05-27","CZ","26","CZK","46796.81751"
"2025-05-28","SK","20","EUR","184.321094886"
"2025-05-26","PL","3","PLN","42.36705"
"2025-05-29","HU","58","HUF","488482.24641741"
"2025-05-28","HU","11","HUF","30033.531"
"2025-05-28","HR","6","EUR","371.4606"
"2025-05-29","HR","61","EUR","748.704895047"
"2025-05-29","UK","29","GBP","0"
"2025-05-26","CZ","27","CZK","153087.32961"
"2025-05-26","BG","22","BGN","2905.99661475"
"2025-05-26","BG","61","BGN","396.203297497"
"2025-05-26","CZ","59","CZK","0"
"2025-05-26","PL","11","PLN","129.86856"
"2025-05-27","HU","58","HUF","786494.566706526"
"2025-05-26","SK","23","EUR","279.115574724"
"2025-05-12","CZ","25","CZK","35479.76535"
"2025-05-13","CZ","25","CZK","35451.32094"
"2025-05-04","HU","11","HUF","30661.191"
"2025-05-04","HR","9","EUR","144.76122"
"2025-05-04","CZ","5","CZK","272004.27822"
"2025-05-05","CZ","22","CZK","589525.13330883"
"2025-05-05","HU","22","HUF","2793151.84647607"
"2025-05-06","CZ","22","CZK","243550.316236203"
"2025-05-05","CZ","9","CZK","10068.49377"
"2025-05-05","HU","9","HUF","155736.711"
"2025-05-06","IT","39","EUR","52.385542092"
"2025-05-05","CZ","28","CZK","3597.54741"
"2025-05-06","SI","46","EUR","43.324679421"
"2025-05-05","CZ","26","CZK","61230.88629"
"2025-05-05","SI","6","EUR","217.59831"
"2025-05-06","IT","23","EUR","75.65265864"
"2025-05-06","SK","5","EUR","2961.72783"
"2025-05-07","HR","22","EUR","2439.165180411"
"2025-05-06","PL","5","PLN","6708.71538"
"2025-05-07","RO","58","RON","2914.029726966"
"2025-05-06","PL","6","PLN","3501.82926"
"2025-05-03","CZ","39","CZK","155996.148001518"
"2025-05-04","CZ","39","CZK","188692.648231968"
"2025-05-07","SI","2","EUR","68.64318"
"2025-05-08","HR","22","EUR","2756.404087461"
"2025-05-08","RO","58","RON","5199.593484285"
"2025-05-07","SK","11","EUR","117.42948"
"2025-05-08","RO","3","RON","1040.94558"
"2025-05-08","BG","6","EUR","162.427017486"
"2025-05-09","RO","3","RON","954.87057"
"2025-05-10","GR","22","EUR","321.179265234"
"2025-05-10","CZ","23","CZK","14243.485592619"
"2025-06-01","SK","29","EUR","1738.889235"
"2025-06-02","HR","43","EUR","127.50057"
"2025-06-02","RO","39","RON","11068.624186497"
"2025-06-02","PL","29","PLN","3213.433755"
"2025-06-02","RO","23","RON","5206.819023468"
"2025-05-27","HU","9","HUF","152407.26"
"2025-05-27","GR","22","EUR","191.766703077"
"2025-05-27","SI","9","EUR","124.27668"
"2025-05-27","SK","29","EUR","2733.236766"
"2025-05-26","HR","38","EUR","28.295306514"
"2025-05-28","PL","46","PLN","5660.942864859"
"2025-05-27","GR","9","EUR","56.08998"
"2025-05-24","PL","46","PLN","3227.721889977"
"2025-05-28","RO","52","RON","970.380060012"
"2025-05-28","BG","61","BGN","418.032119661"
"2025-05-28","CZ","27","CZK","152373.28077"
"2025-05-28","IT","5","EUR","670.34088"
"2025-05-28","SK","11","EUR","111.40965"
"2025-05-28","CZ","44","CZK","1797.44706"
"2025-05-27","CZ","37","CZK","29187.27414"
"2025-05-29","HU","52","HUF","5207.621187213"
"2025-05-26","HR","9","EUR","104.47686"
"2025-05-26","CZ","2","CZK","25191.7047"
"2025-05-26","HU","2","HUF","67633.218"
"2025-05-26","CZ","29","CZK","103515.99813"
"2025-05-26","RO","5","RON","27831.89943"
"2025-05-26","HR","3","EUR","53.77905"
"2025-05-26","CZ","28","CZK","3637.60353"
"2025-05-26","CZ","26","CZK","45470.71458"
"2025-05-26","UK","23","GBP","5.076967707"
"2025-05-27","SI","29","EUR","0"
"2025-05-27","BG","29","BGN","0"
"2025-05-26","IT","39","EUR","529.114723857"
"2025-05-04","RO","9","RON","4523.88798"
"2025-05-04","RO","6","RON","18944.66178"
"2025-05-04","BG","5","EUR","557.692761105"
"2025-05-06","HU","39","HUF","558496.799053875"
"2025-05-05","RO","6","RON","15219.15732"
"2025-05-05","GR","9","EUR","56.80323"
"2025-05-06","SK","29","EUR","2037.875076"
"2025-05-05","RO","5","RON","25869.91986"
"2025-05-05","SK","43","EUR","72.29502"
"2025-05-05","BG","6","EUR","166.893677804"
"2025-05-06","SK","52","EUR","186.790035438"
"2025-05-05","HR","61","EUR","461.861453439"
"2025-05-06","GR","23","EUR","1.826385039"
"2025-05-06","SK","62","EUR","14.23647"
"2025-05-06","CZ","27","CZK","152125.55478"
"2025-05-06","HU","11","HUF","27953.694"
"2025-05-07","SK","58","EUR","910.549349091"
"2025-05-07","BG","52","BGN","117.388194237"
"2025-05-07","BG","22","BGN","657.689077467"
"2025-05-03","CZ","43","CZK","1207.2229848"
"2025-05-07","CZ","26","CZK","46711.34163"
"2025-05-08","CZ","39","CZK","125172.939174219"
"2025-05-08","RO","22","RON","35833.850834787"
"2025-05-07","BG","9","EUR","85.09144681"
"2025-05-08","RO","29","RON","1510.857504"
"2025-05-08","IT","17","EUR","1.009034775"
"2025-05-08","HR","9","EUR","119.19834"
"2025-05-09","HU","39","HUF","563890.674468861"
"2025-05-09","GR","22","EUR","448.971777018"
"2025-05-09","IT","22","EUR","316.296883539"
"2025-05-09","HR","23","EUR","201.786031098"
"2025-05-08","SI","6","EUR","172.66356"
"2025-05-09","RO","38","RON","690.843333987"
"2025-05-08","CZ","44","CZK","3335.49936"
"2025-05-09","RO","23","RON","4384.757965752"
"2025-05-09","BG","29","BGN","0"
"2025-05-09","IT","29","EUR","96.933528"
"2025-05-08","HR","3","EUR","52.75197"
"2025-05-09","CZ","9","CZK","9812.6082"
"2025-05-09","HR","2","EUR","183.81879"
"2025-05-10","RO","29","RON","1346.964066"
"2025-05-10","IT","39","EUR","140.081914845"
"2025-05-10","PL","23","PLN","536.899670721"
"2025-06-02","SI","61","EUR","314.345138576"
"2025-05-29","HU","46","HUF","350894.12064174"
"2025-05-26","RO","6","RON","18873.99297"
"2025-05-05","RO","9","RON","4058.70633"
"2025-05-03","CZ","25","CZK","11529.94302"
"2025-05-05","CZ","11","CZK","4884.50718"
"2025-05-06","HR","5","EUR","1304.70543"
"2025-05-07","SI","29","EUR","0"
"2025-05-08","GR","22","EUR","676.715269428"
"2025-05-08","CZ","26","CZK","64962.35352"
"2025-05-09","IT","23","EUR","49.263546987"
"2025-05-09","RO","52","RON","317.136846681"
"2025-05-09","CZ","27","CZK","137320.53894"
"2025-05-07","CZ","37","CZK","13340.42829"
"2025-05-10","PL","39","PLN","4546.772389422"
"2025-05-09","BG","9","EUR","87.439539904"
"2025-05-09","IT","2","EUR","91.18188"
"2025-05-09","RO","11","RON","326.72556"
"2025-05-09","SE","23","SEK","0"
"2025-05-09","SI","6","EUR","172.6065"
"2025-05-10","RO","58","RON","8745.190953939"
"2025-05-09","CZ","59","CZK","0"
"2025-05-10","PL","61","PLN","1471.876308065"
"2025-05-07","HU","36","HUF","280528.671078936"
"2025-05-08","CZ","36","CZK","22469.027332068"
"2025-05-05","CZ","58","CZK","90484.958905848"
"2025-05-05","PL","46","PLN","709.474162914"
