"date","country","channel_id","device_type","exit_clicks","revenue_loc"
"2025-05-07","CZ","22","pc","3016","19755.23"
"2025-05-07","CZ","33","mobile","2398","11943.96"
"2025-05-07","CZ","64","pc","41","193.57"
"2025-05-07","CZ","5","tablet","76","478.82"
"2025-05-07","CZ","30","pc","194","1099.93"
"2025-05-07","CZ","6","tablet","42","223.46"
"2025-05-07","CZ","25","tablet","29","222.54"
"2025-05-07","CZ","66","tablet","2","9.92"
"2025-05-12","CZ","29","mobile","8447","40715.65"
"2025-05-12","CZ","23","mobile","2940","19843.8"
"2025-05-12","CZ","62","pc","625","4334.4"
"2025-05-12","CZ","34","mobile","3473","20756.93"
"2025-05-12","CZ","5","pc","968","6527.67"
"2025-05-12","CZ","65","pc","130","603.78"
"2025-05-12","CZ","18","pc","89","508.47"
"2025-05-12","CZ","32","pc","105","759.45"
"2025-05-12","CZ","67","pc","219","1836.06"
"2025-05-12","CZ","34","tablet","66","349.07"
"2025-05-12","CZ","2","pc","27","144.83"
"2025-05-12","CZ","39","pc","1678","6920.4"
"2025-05-12","CZ","12","pc","9","61.3"
"2025-05-12","CZ","35","pc","38","206.14"
"2025-05-12","CZ","16","pc","11","98.89"
"2025-05-12","CZ","18","tablet","5","63.15"
"2025-05-01","CZ","22","pc","3131","21099.14"
"2025-05-01","CZ","28","mobile","1758","11098.19"
"2025-05-10","CZ","61","mobile","8359","44746.15"
"2025-05-10","CZ","22","tablet","108","654.92"
"2025-05-10","CZ","58","tablet","26","128.58"
"2025-05-10","CZ","17","tablet","8","36.9"
"2025-05-07","CZ","35","pc","19","162.63"
"2025-05-14","CZ","33","pc","1597","8207.52"
"2025-05-14","CZ","26","mobile","2426","11863.49"
"2025-05-14","CZ","6","pc","583","3537.32"
"2025-05-14","CZ","22","tablet","105","561.64"
"2025-05-14","CZ","33","tablet","167","956.75"
"2025-05-14","CZ","43","mobile","6","30"
"2025-05-14","CZ","67","tablet","24","141.87"
"2025-05-03","CZ","65","mobile","128","680.79"
"2025-05-03","CZ","18","pc","62","354.32"
"2025-07-01","CZ","39","mobile","15801","73804.82"
"2025-07-01","CZ","27","pc","3901","26722.95"
"2025-07-01","CZ","29","mobile","5374","27905.7"
"2025-07-01","CZ","30","pc","240","1462.33"
"2025-07-01","CZ","6","tablet","59","403.39"
"2025-07-02","CZ","67","pc","294","2135.36"
"2025-07-02","CZ","7","mobile","73","483.93"
"2025-07-02","CZ","18","pc","43","273.16"
"2025-07-02","CZ","9","pc","7","42.5"
"2025-05-06","CZ","26","pc","1461","8336.02"
"2025-05-06","CZ","35","pc","9","38.42"
"2025-05-17","CZ","67","mobile","2920","18523.73"
"2025-05-17","CZ","32","tablet","37","136.52"
"2025-07-04","CZ","71","mobile","530","2145.97"
"2025-05-23","CZ","26","pc","1273","7062.14"
"2025-05-23","CZ","42","mobile","17","100.56"
"2025-05-22","CZ","33","pc","1841","10471.91"
"2025-05-24","CZ","9","tablet","8","38.44"
"2025-06-06","CZ","65","pc","108","612.62"
"2025-06-09","CZ","26","mobile","1881","9595.73"
"2025-06-04","CZ","26","pc","1446","7645.4"
"2025-06-17","CZ","52","mobile","502","2846.35"
"2025-05-12","CZ","26","mobile","3334","17510.24"
"2025-05-12","CZ","67","tablet","7","42.43"
"2025-05-01","CZ","67","mobile","2678","17310.26"
"2025-05-10","CZ","22","mobile","24913","150689.68"
"2025-05-10","CZ","67","pc","196","1285.67"
"2025-05-07","CZ","39","tablet","12","66.3"
"2025-05-14","CZ","16","pc","34","200.54"
"2025-05-14","CZ","42","pc","4","42.03"
"2025-05-14","CZ","25","tablet","25","187.94"
"2025-05-03","CZ","6","mobile","11296","59365.75"
"2025-05-03","CZ","31","pc","4422","21710.49"
"2025-05-03","CZ","34","tablet","144","591.51"
"2025-05-03","CZ","28","tablet","98","412.56"
"2025-05-03","CZ","35","mobile","283","1275.97"
"2025-05-03","CZ","39","mobile","19953","68446.33"
"2025-07-01","CZ","61","pc","1200","8113.85"
"2025-07-01","CZ","20","pc","249","1577.48"
"2025-07-01","CZ","65","pc","73","459.45"
"2025-07-01","CZ","23","tablet","67","457.22"
"2025-07-01","CZ","68","pc","3","15.48"
"2025-07-02","CZ","22","mobile","18770","124126.27"
"2025-07-02","CZ","9","mobile","346","1936.2"
"2025-07-02","CZ","58","mobile","2272","20591.64"
"2025-07-02","CZ","52","mobile","544","3581.01"
"2025-07-02","CZ","69","pc","132","910.96"
"2025-07-02","CZ","30","mobile","212","1460.93"
"2025-07-02","CZ","62","pc","162","1254.09"
"2025-07-02","CZ","26","tablet","88","617.16"
"2025-07-02","CZ","43","mobile","15","90.01"
"2025-05-06","CZ","20","mobile","1261","7272.21"
"2025-05-06","CZ","29","mobile","8384","39927.61"
"2025-05-06","CZ","16","mobile","141","1275.29"
"2025-05-06","CZ","29","pc","1917","10076.06"
"2025-05-06","CZ","66","mobile","193","985.79"
"2025-05-17","CZ","6","pc","704","5117.65"
"2025-05-17","CZ","57","mobile","46","136.15"
"2025-05-17","CZ","31","tablet","75","493.81"
"2025-05-17","CZ","67","tablet","14","83.92"
